Comment,Designator,Footprint,LCSC
PCM5102A,U1,TSSOP-20_4.4x6.5mm_P0.65mm,C107671
microSD SOFNG TF-15x15,J30,SOFNG TF-15x15 (LCSC C111196),C111196
1uH,L1,Inductor_MCS0630-1R0MN2,C112125
2.2uF,"C12,C7,C8,C9",C_0805_2012Metric,C12530
0.1uF,"C26,C29,C31,C32",C_0805_2012Metric,C14663
0.1uF,"C13,C14,C23,C24,C25,C27,C28,C33,C4,C6",C_0805_2012Metric,C1525
10uF,"C1,C10,C11,C15,C16,C3,C5",C_0805_2012Metric,C15525
220R,R19,R_1206_3216Metric,C17557
470R,R22,R_1206_3216Metric,C17710
47R,"R20,R21",R_1206_3216Metric,C17714
Injoinic IP5306 battery charge,IC2,SOIC127P599X155-9N,C181692
0.22uF,"C2,C30",C_0805_2012Metric,C21120
1N4148WS,D6,D_SOD-323,C2128
2R,R9,R_1206_3216Metric,C22977
22R,"R1,R15,R16,R2,R3",R_1206_3216Metric,C25092
470R,"R34,R35,R36,R37,R38,R39,R5,R6",R_1206_3216Metric,C25117
10k,"R10,R4",R_1206_3216Metric,C25744
75k,R12,R_1206_3216Metric,C25798
4.7k,"R40,R41",R_1206_3216Metric,C25900
100k,"R14,R7,R8",R_1206_3216Metric,C25905
25%,"D1,D2,D3,D4",LED_0805_2012Metric,C264424
header_usbfromteensy,"J3,J5",PinSocket_1x04_P2.54mm_Vertical,C2718488
WS2812B,"D12,D13,D14,D15",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2761795
Teensy4.1_LEFT,"U2,U3",PinSocket_1x20_P2.54mm_Vertical,C2905423
M.2 riser 2.5mm,H4,Sinhoo SMTSO2530CTJ,C2915630
SW_Push,"SW1,SW6",XKB switch jlcpcb SW_TS-1187A-B-A-B,C318884
DIP red power source,"SW10,SW8,SW9",dip switch XKB DS-04,C319060
XKB_U262-16XN-4BVC11 USB-C recept,J2,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C319148
SSD1306,"J12,J4",PinSocket_1x07_P2.54mm_Vertical,C358721
3.3v,D16,D_MiniMELF,C393436
Conn_01x06,"J6,J8",PinSocket_1x06_P2.54mm_Vertical,C40877
CY8CMBR3108-LQXIT,IC3,QFN50P300X300X60-17N-D,C462528
TLV75733PDBV,"U17,U19,U7",SOT-23-5,C485517
captouch 3x3x1 header B,"J13,J14,J15,J17,J18,J19,J21,J24,J25,J26,J27,J9",PinHeader_1x06_P2.54mm_Vertical,C492405
header_power tap,J7,PinSocket_1x02_P2.54mm_Vertical,C49661
6N138,U8,DIP-8_W7.62mm,C571211
22uF,"C17,C18,C19,C20,C21,C22",C_0805_2012Metric,C59461
blue,"D5,D7",LED_0603_1608Metric,C72041
green,"D8,D9",LED_0603_1608Metric,C72043
red,"D10,D11",LED_0603_1608Metric,C72044
APCI0108-P001A Teensy_4.0_MicroMod,U16,21992304,C841659
SW_Push,"SW2,SW3,SW4,SW5",B3F-4055,C84931
"PCA9554APW,118",IC1,SOP65P640X110-16N,C86803
0.5R,R11,R_1206_3216Metric,C880273
"MPR121, 0x5A",U4,UQFN-20_3x3mm_P0.4mm,C91322
