Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,124.947054,-55.059034,-90.0,top
C2,0.22uF,C_0805_2012Metric,122.915054,-55.059034,-90.0,top
C3,10uF,C_0805_2012Metric,79.976804,-81.959034,-90.0,top
C4,0.1uF,C_0805_2012Metric,77.876804,-81.959034,-90.0,top
C5,10uF,C_0805_2012Metric,89.576804,-81.959034,90.0,top
C6,0.1uF,C_0805_2012Metric,87.476804,-81.959034,90.0,top
C7,2.2uF,C_0805_2012Metric,82.976804,-71.859034,0.0,top
C8,2.2uF,C_0805_2012Metric,83.976804,-69.759034,180.0,top
C9,2.2uF,C_0805_2012Metric,73.476804,-76.159034,90.0,top
C10,10uF,C_0805_2012Metric,90.026804,-72.551534,180.0,top
C11,10uF,C_0805_2012Metric,90.026804,-75.559034,0.0,top
C12,2.2uF,C_0805_2012Metric,73.476804,-79.659034,-90.0,top
C13,0.1uF,C_0805_2012Metric,93.526804,-72.551534,0.0,top
C14,0.1uF,C_0805_2012Metric,93.526804,-75.559034,180.0,top
C15,10uF,C_0805_2012Metric,104.881804,-59.957366,180.0,top
C16,10uF,C_0805_2012Metric,104.881804,-64.609034,180.0,top
C17,22uF,C_0805_2012Metric,73.285804,-59.399034,90.0,top
C18,22uF,C_0805_2012Metric,92.301804,-56.309034,180.0,top
C19,22uF,C_0805_2012Metric,91.581804,-52.009034,-90.0,top
C20,22uF,C_0805_2012Metric,75.385804,-59.399034,90.0,top
C21,22uF,C_0805_2012Metric,77.485804,-59.399034,90.0,top
C22,22uF,C_0805_2012Metric,79.585804,-59.399034,90.0,top
C23,0.1uF,C_0805_2012Metric,81.685804,-59.399034,90.0,top
C24,0.1uF,C_0805_2012Metric,145.676804,-121.409034,90.0,top
C25,0.1uF,C_0805_2012Metric,143.576804,-121.409034,90.0,top
C26,0.1uF,C_0805_2012Metric,120.883054,-55.059034,-90.0,top
C27,0.1uF,C_0805_2012Metric,75.776804,-100.559034,90.0,top
C28,0.1uF,C_0805_2012Metric,168.676804,-48.559034,0.0,top
C29,1uF,C_0805_2012Metric,118.726804,-52.059034,0.0,top
C30,0.22uF,C_0805_2012Metric,114.526804,-55.059034,-90.0,top
C31,0.1uF,C_0805_2012Metric,115.226804,-52.059034,180.0,top
C32,1uF,C_0805_2012Metric,121.939304,-98.509034,-90.0,top
C33,0.1uF,C_0805_2012Metric,163.675804,-135.831534,0.0,top
D1,25%,LED_0805_2012Metric,104.944304,-51.109034,0.0,top
D2,50%,LED_0805_2012Metric,104.944304,-53.324867,180.0,top
D3,75%,LED_0805_2012Metric,104.944304,-55.5407,0.0,top
D4,100%,LED_0805_2012Metric,104.944304,-57.756533,180.0,top
D5,blue,LED_0603_1608Metric,170.576804,-118.359034,90.0,top
D6,1N4148WS,D_SOD-323,89.476804,-96.359034,90.0,top
D7,blue,LED_0603_1608Metric,172.176804,-118.359034,90.0,top
D8,green,LED_0603_1608Metric,173.776804,-118.359034,90.0,top
D9,green,LED_0603_1608Metric,175.376804,-118.359034,90.0,top
D10,red,LED_0603_1608Metric,176.976804,-118.359034,90.0,top
D11,red,LED_0603_1608Metric,178.576804,-118.359034,90.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,175.076804,-96.159034,180.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,175.076804,-101.859034,180.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,175.076804,-107.559034,180.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,175.076804,-113.259034,180.0,top
D16,3.3v,D_MiniMELF,123.226804,-52.159034,180.0,top
H4,M.2 riser 2.5mm,Sinhoo SMTSO2530CTJ,172.514304,-65.859034,180.0,top
IC1,"PCA9554APW,118",SOP65P640X110-16N,130.976804,-122.559034,0.0,top
IC2,Injoinic IP5306 battery charge,SOIC127P599X155-9N,98.196804,-60.704034,180.0,top
IC3,CY8CMBR3108-LQXIT,QFN50P300X300X60-17N-D,161.375804,-132.631534,90.0,top
J2,XKB_U262-16XN-4BVC11 USB-C recept,USB_C_Receptacle_XKB_U262-16XN-4BVC11,153.277293,-31.759034,180.0,top
J3,header_usbfromteensy,PinSocket_1x04_P2.54mm_Vertical,184.106804,-115.559034,90.0,top
J4,header_spi,PinSocket_1x07_P2.54mm_Vertical,104.436804,-83.859034,90.0,top
J5,header_i2c,PinSocket_1x04_P2.54mm_Vertical,137.751804,-114.559034,180.0,top
J6,Conn_01x06,PinSocket_1x06_P2.54mm_Vertical,93.975804,-122.431534,0.0,top
J7,header_power tap,PinSocket_1x02_P2.54mm_Vertical,110.976804,-61.059034,0.0,top
J8,Conn_01x06,PinSocket_1x06_P2.54mm_Vertical,193.975804,-135.131534,180.0,top
J9,captouch 3x3x1 headerA,PinHeader_1x06_P2.54mm_Vertical,204.099304,-33.059034,90.0,top
J12,SSD1306,PinSocket_1x07_P2.54mm_Vertical,104.536804,-91.659034,90.0,top
J13,captouch 3x3x1 header B,PinHeader_1x06_P2.54mm_Vertical,216.899304,-133.059034,-90.0,top
J14,captouch4x4x2 headerA,PinHeader_1x06_P2.54mm_Vertical,247.976804,-33.059034,90.0,top
J15,captouch4x4x2 header B,PinHeader_1x06_P2.54mm_Vertical,260.676804,-133.059034,-90.0,top
J17,captouch4x4x3 headerA,PinHeader_1x06_P2.54mm_Vertical,225.976804,-33.059034,90.0,top
J18,captouch4x4x3 header B,PinHeader_1x06_P2.54mm_Vertical,238.676804,-133.059034,-90.0,top
J19,captouch4x4x.5 headerA,PinHeader_1x06_P2.54mm_Vertical,269.976804,-33.059034,90.0,top
J21,captouch4x4x.5 header B,PinHeader_1x06_P2.54mm_Vertical,282.676804,-133.059034,-90.0,top
J24,captouch5x5x1 headerA,PinHeader_1x06_P2.54mm_Vertical,313.976804,-33.059034,90.0,top
J25,captouch5x5x1 header B,PinHeader_1x06_P2.54mm_Vertical,326.676804,-133.059034,-90.0,top
J26,captouch4x4x1 headerA,PinHeader_1x06_P2.54mm_Vertical,291.976804,-33.059034,90.0,top
J27,captouch4x4x1 header B,PinHeader_1x06_P2.54mm_Vertical,304.676804,-133.059034,-90.0,top
J30,microSD SOFNG TF-15x15,SOFNG TF-15x15 (LCSC C111196),167.375804,-35.971534,180.0,top
L1,1uH,Inductor_MCS0630-1R0MN2,101.896804,-54.024034,90.0,top
R1,22R,R_1206_3216Metric,92.976804,-77.759034,180.0,top
R2,22R,R_1206_3216Metric,92.976804,-80.159034,180.0,top
R3,22R,R_1206_3216Metric,92.976804,-82.559034,180.0,top
R4,10k,R_1206_3216Metric,149.776804,-122.009034,-90.0,top
R5,470R,R_1206_3216Metric,76.876804,-75.559034,180.0,top
R6,470R,R_1206_3216Metric,76.876804,-77.959034,180.0,top
R7,5.1k,R_1206_3216Metric,150.239793,-40.844034,0.0,top
R8,5.1k,R_1206_3216Metric,155.539793,-40.844034,180.0,top
R9,2R,R_1206_3216Metric,104.381804,-62.283199,0.0,top
R10,10k,R_1206_3216Metric,86.139304,-51.659034,180.0,top
R11,0.5R,R_1206_3216Metric,93.881804,-52.571534,-90.0,top
R12,75k,R_1206_3216Metric,141.376804,-122.009034,90.0,top
R14,100k,R_1206_3216Metric,157.285804,-45.959034,180.0,top
R15,100k,R_1206_3216Metric,127.126804,-53.359034,-90.0,top
R16,100k,R_1206_3216Metric,115.539304,-98.009034,90.0,top
R19,220R,R_1206_3216Metric,92.976804,-98.559034,90.0,top
R20,47R,R_1206_3216Metric,73.239304,-86.259034,0.0,top
R21,47R,R_1206_3216Metric,73.239304,-88.659034,0.0,top
R22,470R,R_1206_3216Metric,75.376804,-96.359034,90.0,top
R34,470R,R_1206_3216Metric,168.826804,-122.246534,-90.0,top
R35,470R,R_1206_3216Metric,171.126804,-122.246534,-90.0,top
R36,470R,R_1206_3216Metric,173.426804,-122.246534,-90.0,top
R37,470R,R_1206_3216Metric,175.726804,-122.246534,-90.0,top
R38,470R,R_1206_3216Metric,178.026804,-122.246534,-90.0,top
R39,470R,R_1206_3216Metric,180.326804,-122.246534,-90.0,top
R40,4.7k,R_1206_3216Metric,130.151804,-110.696534,90.0,top
